"filename", "language", "C#", "JSON", "UnityShader", "Markdown", "comment", "blank", "total"
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/Benchmark01.cs", "C#", 63, 0, 0, 0, 29, 37, 129
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/Benchmark01_UGUI.cs", "C#", 59, 0, 0, 0, 37, 40, 136
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/Benchmark02.cs", "C#", 65, 0, 0, 0, 6, 27, 98
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/Benchmark03.cs", "C#", 73, 0, 0, 0, 1, 19, 93
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/Benchmark04.cs", "C#", 41, 0, 0, 0, 26, 19, 86
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/CameraController.cs", "C#", 198, 0, 0, 0, 25, 69, 292
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/ChatController.cs", "C#", 31, 0, 0, 0, 5, 16, 52
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/DropdownSample.cs", "C#", 15, 0, 0, 0, 0, 5, 20
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/EnvMapAnimator.cs", "C#", 23, 0, 0, 0, 4, 9, 36
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/ObjectSpin.cs", "C#", 50, 0, 0, 0, 4, 15, 69
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/ShaderPropAnimator.cs", "C#", 33, 0, 0, 0, 5, 14, 52
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/SimpleScript.cs", "C#", 24, 0, 0, 0, 15, 20, 59
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/SkewTextExample.cs", "C#", 95, 0, 0, 0, 18, 46, 159
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TMP_DigitValidator.cs", "C#", 19, 0, 0, 0, 5, 4, 28
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TMP_ExampleScript_01.cs", "C#", 37, 0, 0, 0, 9, 19, 65
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TMP_FrameRateCounter.cs", "C#", 91, 0, 0, 0, 11, 33, 135
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TMP_PhoneNumberValidator.cs", "C#", 93, 0, 0, 0, 7, 6, 106
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TMP_TextEventCheck.cs", "C#", 56, 0, 0, 0, 1, 17, 74
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TMP_TextEventHandler.cs", "C#", 170, 0, 0, 0, 31, 54, 255
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TMP_TextInfoDebugTool.cs", "C#", 409, 0, 0, 0, 97, 147, 653
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TMP_TextSelector_A.cs", "C#", 100, 0, 0, 0, 17, 41, 158
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TMP_TextSelector_B.cs", "C#", 250, 0, 0, 0, 191, 107, 548
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TMP_UiFrameRateCounter.cs", "C#", 96, 0, 0, 0, 1, 28, 125
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TMPro_InstructionOverlay.cs", "C#", 55, 0, 0, 0, 6, 24, 85
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TeleType.cs", "C#", 40, 0, 0, 0, 15, 28, 83
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TextConsoleSimulator.cs", "C#", 79, 0, 0, 0, 13, 29, 121
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TextMeshProFloatingText.cs", "C#", 135, 0, 0, 0, 32, 57, 224
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TextMeshSpawner.cs", "C#", 46, 0, 0, 0, 13, 21, 80
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/VertexColorCycler.cs", "C#", 48, 0, 0, 0, 13, 24, 85
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/VertexJitter.cs", "C#", 105, 0, 0, 0, 26, 44, 175
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/VertexShakeA.cs", "C#", 99, 0, 0, 0, 23, 39, 161
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/VertexShakeB.cs", "C#", 112, 0, 0, 0, 29, 44, 185
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/VertexZoom.cs", "C#", 112, 0, 0, 0, 32, 48, 192
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/WarpTextExample.cs", "C#", 87, 0, 0, 0, 15, 43, 145
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Shaders/TMP_Bitmap-Custom-Atlas.shader", "UnityShader", 0, 0, 109, 0, 2, 33, 144
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Shaders/TMP_Bitmap-Mobile.shader", "UnityShader", 0, 0, 112, 0, 3, 31, 146
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Shaders/TMP_Bitmap.shader", "UnityShader", 0, 0, 109, 0, 2, 33, 144
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Shaders/TMP_SDF Overlay.shader", "UnityShader", 0, 0, 243, 0, 4, 71, 318
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Shaders/TMP_SDF SSD.shader", "UnityShader", 0, 0, 241, 0, 4, 66, 311
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Shaders/TMP_SDF-Mobile Masking.shader", "UnityShader", 0, 0, 188, 0, 10, 50, 248
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Shaders/TMP_SDF-Mobile Overlay.shader", "UnityShader", 0, 0, 183, 0, 8, 50, 241
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Shaders/TMP_SDF-Mobile SSD.shader", "UnityShader", 0, 0, 82, 0, 4, 21, 107
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Shaders/TMP_SDF-Mobile.shader", "UnityShader", 0, 0, 183, 0, 8, 50, 241
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Shaders/TMP_SDF-Surface-Mobile.shader", "UnityShader", 0, 0, 103, 0, 8, 28, 139
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Shaders/TMP_SDF-Surface.shader", "UnityShader", 0, 0, 122, 0, 4, 33, 159
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Shaders/TMP_SDF.shader", "UnityShader", 0, 0, 243, 0, 4, 71, 318
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Shaders/TMP_Sprite.shader", "UnityShader", 0, 0, 97, 0, 0, 20, 117
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Shaders/TMPro.cginc", "UnityShader", 0, 0, 63, 0, 2, 20, 85
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Shaders/TMPro_Mobile.cginc", "UnityShader", 0, 0, 122, 0, 2, 34, 158
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Shaders/TMPro_Properties.cginc", "UnityShader", 0, 0, 62, 0, 10, 14, 86
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Shaders/TMPro_Surface.cginc", "UnityShader", 0, 0, 76, 0, 7, 19, 102
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Sprites/EmojiOne.json", "JSON", 0, 155, 0, 0, 0, 2, 157
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextWriter/Scripts/TextWriter.cs", "C#", 90, 0, 0, 0, 17, 24, 131
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextWriter/Scripts/UI_Assistant.cs", "C#", 56, 0, 0, 0, 0, 11, 67
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/_/Stuff/CodeMonkey/Assets.cs", "C#", 17, 0, 0, 0, 18, 12, 47
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/_/Stuff/CodeMonkey/CMDebug.cs", "C#", 53, 0, 0, 0, 24, 18, 95
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/_/Stuff/CodeMonkey/MonoBehaviours/CameraFollow.cs", "C#", 73, 0, 0, 0, 16, 25, 114
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/_/Stuff/CodeMonkey/MonoBehaviours/CameraFollowSetup.cs", "C#", 17, 0, 0, 0, 14, 6, 37
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/_/Stuff/CodeMonkey/MonoBehaviours/ComponentActions.cs", "C#", 33, 0, 0, 0, 14, 8, 55
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/_/Stuff/CodeMonkey/MonoBehaviours/PositionRendererSorter.cs", "C#", 27, 0, 0, 0, 14, 10, 51
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/_/Stuff/CodeMonkey/Utils/Button_Sprite.cs", "C#", 157, 0, 0, 0, 18, 36, 211
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/_/Stuff/CodeMonkey/Utils/Button_UI.cs", "C#", 155, 0, 0, 0, 23, 27, 205
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/_/Stuff/CodeMonkey/Utils/FunctionPeriodic.cs", "C#", 121, 0, 0, 0, 21, 35, 177
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/_/Stuff/CodeMonkey/Utils/FunctionTimer.cs", "C#", 113, 0, 0, 0, 22, 35, 170
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/_/Stuff/CodeMonkey/Utils/FunctionUpdater.cs", "C#", 100, 0, 0, 0, 17, 23, 140
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/_/Stuff/CodeMonkey/Utils/UI_Bar.cs", "C#", 105, 0, 0, 0, 17, 10, 132
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/_/Stuff/CodeMonkey/Utils/UI_BarMultiple.cs", "C#", 73, 0, 0, 0, 14, 7, 94
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/_/Stuff/CodeMonkey/Utils/UI_Sprite.cs", "C#", 81, 0, 0, 0, 14, 11, 106
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/_/Stuff/CodeMonkey/Utils/UI_TextComplex.cs", "C#", 113, 0, 0, 0, 21, 8, 142
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/_/Stuff/CodeMonkey/Utils/UtilsClass.cs", "C#", 375, 0, 0, 0, 52, 87, 514
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/_/Stuff/CodeMonkey/Utils/World_Bar.cs", "C#", 73, 0, 0, 0, 14, 10, 97
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/_/Stuff/CodeMonkey/Utils/World_Mesh.cs", "C#", 127, 0, 0, 0, 24, 44, 195
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/_/Stuff/CodeMonkey/Utils/World_Sprite.cs", "C#", 102, 0, 0, 0, 14, 15, 131
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/Actions.cs", "C#", 8, 0, 0, 0, 0, 1, 9
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/Barbara.cs", "C#", 42, 0, 0, 0, 0, 6, 48
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/BarbaraController.cs", "C#", 69, 0, 0, 0, 0, 14, 83
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/BarbaraSceneActions.cs", "C#", 200, 0, 0, 0, 2, 44, 246
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/BoostCharacter.cs", "C#", 33, 0, 0, 0, 0, 11, 44
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/BottleKick.cs", "C#", 27, 0, 0, 0, 0, 6, 33
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/CameraFollow.cs", "C#", 27, 0, 0, 0, 1, 8, 36
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/CharacterController2D.cs", "C#", 118, 0, 0, 0, 9, 21, 148
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/Checkpoint.cs", "C#", 26, 0, 0, 0, 0, 4, 30
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/Collectable.cs", "C#", 34, 0, 0, 0, 0, 6, 40
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/Damage.cs", "C#", 28, 0, 0, 0, 0, 6, 34
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/Data.cs", "C#", 14, 0, 0, 0, 0, 2, 16
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/DestroyOnCollision.cs", "C#", 11, 0, 0, 0, 0, 2, 13
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/DrunkFlying.cs", "C#", 93, 0, 0, 0, 5, 11, 109
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/Fall.cs", "C#", 44, 0, 0, 0, 3, 15, 62
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/FaxField.cs", "C#", 24, 0, 0, 0, 1, 7, 32
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/Flying.cs", "C#", 52, 0, 0, 0, 1, 8, 61
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/GameManager.cs", "C#", 641, 0, 0, 0, 52, 109, 802
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/HelicopterController.cs", "C#", 124, 0, 0, 0, 0, 12, 136
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/Helmut.cs", "C#", 71, 0, 0, 0, 0, 12, 83
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/HelmutBarbaraSceneController.cs", "C#", 37, 0, 0, 0, 1, 11, 49
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/IntroActions.cs", "C#", 61, 0, 0, 0, 0, 13, 74
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/LevelCompleteManager.cs", "C#", 69, 0, 0, 0, 0, 15, 84
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/MenuController.cs", "C#", 157, 0, 0, 0, 7, 32, 196
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/Mud.cs", "C#", 26, 0, 0, 0, 0, 4, 30
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/ParallaxBackground.cs", "C#", 44, 0, 0, 0, 11, 11, 66
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/PlayerController.cs", "C#", 9, 0, 0, 0, 0, 3, 12
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/PlayerMovement.cs", "C#", 106, 0, 0, 0, 5, 29, 140
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/Shot.cs", "C#", 44, 0, 0, 0, 2, 9, 55
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/SoundManager.cs", "C#", 114, 0, 0, 0, 1, 18, 133
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/Timer.cs", "C#", 68, 0, 0, 0, 4, 13, 85
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/UIContentCarousel.cs", "C#", 266, 0, 0, 0, 11, 59, 336
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/UI_Manager.cs", "C#", 89, 0, 0, 0, 1, 19, 109
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/Water.cs", "C#", 41, 0, 0, 0, 0, 7, 48
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/WaterShapeController.cs", "C#", 133, 0, 0, 0, 15, 28, 176
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/WaterSpring.cs", "C#", 52, 0, 0, 0, 6, 8, 66
"/Users/shadymansour/unity_projects/speziman/Assets/Scripts/Weapon.cs", "C#", 37, 0, 0, 0, 2, 13, 52
"/Users/shadymansour/unity_projects/speziman/Packages/manifest.json", "JSON", 0, 46, 0, 0, 0, 1, 47
"/Users/shadymansour/unity_projects/speziman/Packages/packages-lock.json", "JSON", 0, 522, 0, 0, 0, 1, 523
"/Users/shadymansour/unity_projects/speziman/README.md", "Markdown", 0, 0, 0, 15, 0, 11, 26
"Total", "-", 8109, 723, 2338, 15, 1372, 2911, 15468